BusinessRegion,,Department,RetailNetwork,Level3,ЯК,Рейтинг ЯК,количество,2 ГИС,Рейтинг 2ГИС,количество,Гугл карты,Рейтинг ГК,,,,Рейтинг ЯК (свежий),оценки ЯК (свежий),отзывы ЯК (свежий),Рейтинг 2ГИС (свежий),оценки 2ГИС (свежий),отзывы 2ГИС (свежий)
Анапа,,Анапа-01 Лермонтова 118,Галерея Суши Россия,,https://yandex.ru/profile/4250140788,,,,,0,,,,,,,,,"3,3",13,12
Ангарск,,Ангарск-01 22 микрорайон 42,Суши Мастер Россия,,https://yandex.ru/maps/org/sushi_master/43020247832/,5,438,https://go.2gis.com/1Ko9k,"4,3",815,https://maps.app.goo.gl/ee79XpgPMNy4DHZS9,"4,2",,,,4,13,12,"3,7",42,39
Ангарск,,Ангарск-01 22 микрорайон 42,Мир Суши Россия,,https://yandex.ru/maps/org/mir_sushi/74116086006/,,,https://2gis.ru/angarsk/search/%D0%B0%D0%BD%D0%B3%D0%B0%D1%80%D1%81%D0%BA%20%D0%BC%D0%B8%D1%80%20%D1%81%D1%83%D1%88%D0%B8/firm/70000001093335139/103.850334%2C52.511691?m=103.850334%2C52.511691%2F17.36,"1,9",14,,,,,,4,13,12,"3,7",42,39
Ангарск,,Ангарск-01 22 микрорайон 42,Галерея Суши Россия,,https://yandex.ru/maps/org/galereya_sushi/72066046283/,,,https://go.2gis.com/jowu3,"3,5",38,,,,,,4,13,12,"3,7",42,39
Ачинск,Чураева К,Ачинск-01 мкр 1 37а,Галерея Суши Россия,Попова Светлана РД,https://yandex.ru/maps/org/galereya_sushi/220493831432/,"4,5",12,https://go.2gis.com/qlMyO,"4,8",26,,,,,,"4,5",13,12,"4,8",26,26
Ачинск,Чураева К,Ачинск-01 мкр 1 37а,Мир Суши Россия,Попова Светлана РД,https://clck.ru/3P7yNK,"3,2",8,,,0,-0,,,,,"4,5",13,12,"4,8",26,26
Ачинск,Чураева К,Ачинск-01 мкр 1 37а,Суши Мастер Россия,Попова Светлана РД,https://yandex.ru/maps/org/sushi_master/18855601734/,"4,6",273,https://go.2gis.com/03Obk,"4,7",293,https://maps.app.goo.gl/AYEY7WsPwggM2pRM6,,,, ,"4,5",13,12,"4,8",26,26
Балашиха,,"Балашиха-01 мкн Авиаторов, бульвар Нестерова 9",Суши Мастер Россия,,https://yandex.ru/maps/org/sushi_master/7585640106/,"4,6",246,https://2gis.ru/balashikha/search/%D0%B1%D0%B0%D0%BB%D0%B0%D1%88%D0%B8%D1%85%D0%B0%20%D1%81%D1%83%D1%88%D0%B8%20%D0%BC%D0%B0%D1%81%D1%82%D0%B5%D1%80/firm/70000001090235668/37.948205%2C55.823558?m=37.92978%2C55.762783%2F11.76,3,2,https://maps.app.goo.gl/9fKMixjXwh1sJdGJ7,"4,5",,,,"4,7",315,256,"3,7",3,3
Барнаул,Молодцов А,Барнаул-01 Ленина 113,SPOKE Россия,Попова Светлана РД,https://yandex.ru/maps/org/spoke/140087795786/,-0,0,https://go.2gis.com/aoxh4,"4,6",55,,,,,,"4,9",492,407,4,1146,1087
Барнаул,Молодцов А,Барнаул-01 Ленина 113,Галерея Суши Россия,Попова Светлана РД,https://yandex.ru/maps/org/galereya_sushi/106227453036/,"4,4",20,https://go.2gis.com/znztd,"4,3",124,,,,,,"4,9",492,407,4,1146,1087
Барнаул,Молодцов А,Барнаул-01 Ленина 113,Мир Суши Россия,Попова Светлана РД,https://clck.ru/3P7yXQ,,,https://clck.ru/3P7ybd,"4,1",126,https://maps.app.goo.gl/ZB8E5zPBDBykHSXm6,,,,,"4,9",492,407,4,1146,1087
Барнаул,Молодцов А,Барнаул-01 Ленина 113,Суши Мастер Россия,Попова Светлана РД,https://yandex.ru/maps/org/sushi_master/128193257841/,"4,9",407,https://go.2gis.com/A0G0Y,4,1081,https://maps.app.goo.gl/atDFFHjWZFy6BHPY6,,,,,"4,9",492,407,4,1146,1087
Барнаул,Молодцов А,Барнаул-02 Ленина 22,SPOKE Россия,Попова Светлана РД,https://yandex.ru/maps/org/spoke/170222450618/,,,https://go.2gis.com/6OPgh,"4,9",41,,,,,,"4,9",226,162,"4,2",589,540
Барнаул,Молодцов А,Барнаул-02 Ленина 22,Галерея Суши Россия,Попова Светлана РД,https://yandex.ru/maps/org/galereya_sushi/133510261953/,"4,3",22,https://go.2gis.com/VD92W,"4,5",91,,,,,,"4,9",226,162,"4,2",589,540
Барнаул,Молодцов А,Барнаул-02 Ленина 22,Мир Суши Россия,Попова Светлана РД,https://clck.ru/3P7ykS,,,https://clck.ru/3P7yfS,"4,5",55,https://maps.app.goo.gl/56VHK5D4XHjyHDLZA,,,,,"4,9",226,162,"4,2",589,540
Барнаул,Молодцов А,Барнаул-02 Ленина 22,Суши Мастер Россия,Попова Светлана РД,https://yandex.ru/maps/org/sushi_master/99053155361/,"4,9",159,https://go.2gis.com/jJuza,"4,2",539,Sushi Master,,,,,"4,9",226,162,"4,2",589,540
Барнаул,Молодцов А,"Барнаул-03 ул. Балтийская, 103",SPOKE Россия,Попова Светлана РД,https://yandex.ru/maps/org/spoke/140781350500/,,,https://go.2gis.com/zEJJt,"4,8",53,,,,,,"4,4",15,13,"4,3",186,170
Барнаул,Молодцов А,"Барнаул-03 ул. Балтийская, 103",Галерея Суши Россия,Попова Светлана РД,https://yandex.ru/maps/org/galereya_sushi/161087816406/,"4,2",15,https://go.2gis.com/cItvf,"4,2",175,,,,,,"4,4",15,13,"4,3",186,170
Барнаул,Молодцов А,"Барнаул-03 ул. Балтийская, 103",Мир Суши Россия,Попова Светлана РД,https://yandex.ru/maps/-/CLU5mB0o,,,https://go.2gis.com/8hhQV,"4,3",170,https://maps.app.goo.gl/suPJFFDixQEz1oa37,,,,,"4,4",15,13,"4,3",186,170
Барнаул,Молодцов А,"Барнаул-03 ул. Балтийская, 103",Суши Мастер Россия,Попова Светлана РД,https://yandex.ru/maps/org/sushi_master/213472301780/,"4,9",181,https://go.2gis.com/AJ5Yh,"4,1",1501,https://maps.app.goo.gl/hNNZtFtGdK2rGkEeA,,,,,"4,4",15,13,"4,3",186,170
Барнаул,Молодцов А,"Барнаул-05 ул. Юрина, 202 (НОВАЯ)",SPOKE Россия,Попова Светлана РД,https://yandex.ru/maps/org/spoke/42379137434/,,,https://go.2gis.com/D9kpf,"3,3",2,,,,,,,,,"3,3",,2
Барнаул,Молодцов А,"Барнаул-05 ул. Юрина, 202 (НОВАЯ)",Галерея Суши Россия,Попова Светлана РД,https://yandex.ru/maps/org/galereya_sushi/172275949894/,4,8,https://go.2gis.com/9sYSB,"4,7",79,,,,,,,,,"3,3",,2
Барнаул,Молодцов А,"Барнаул-05 ул. Юрина, 202 (НОВАЯ)",Мир Суши Россия,Попова Светлана РД,https://yandex.ru/maps/-/CLU5mSOL,,,https://go.2gis.com/sE37Q,"3,4",63,,,,,,,,,"3,3",,2
Барнаул,Молодцов А,"Барнаул-05 ул. Юрина, 202 (НОВАЯ)",Суши Мастер Россия,Попова Светлана РД,https://yandex.ru/maps/org/sushi_master/93695945761/,"4,7",73,https://go.2gis.com/mYhV6,3,0,https://maps.app.goo.gl/cpEdqXjTuEobvpTc8,,,,,,,,"3,3",,2
Белгород,,Белгород-01 б-р Народный 43,Суши Мастер Россия,,https://yandex.ru/maps/org/sushi_master/95882805562/,"4,4",289,https://go.2gis.com/SLZgG,"4,8",268,https://maps.app.goo.gl/3RxCbEJKnY5cPUeo9,"4,1",,,,"4,4",415,289,"4,8",282,268
Белгород,,Белгород-02 Бульвар юности 5б,Суши Мастер Россия,,https://yandex.ru/maps/org/sushi_master/50920125070/,"4,9",232,https://go.2gis.com/CXlQf,"4,8",179,https://maps.app.goo.gl/TMAjAsRgMWAn3hMa9,"4,2",,,,"4,9",281,233,"4,8",188,179
Белоярский,Молодцов А,Белоярский-01 Мира 1,Галерея Суши Россия,Покатова Лариса РД,https://yandex.ru/maps/org/galereya_sushi/151468407094/,"3,7",3,https://go.2gis.com/DCg3n,"4,6",14,,,,,,"3,7",4,3,"4,5",14,14
Белоярский,Молодцов А,Белоярский-01 Мира 1,Мир Суши Россия,Покатова Лариса РД,https://yandex.ru/maps/-/CLU5mX7o,,,https://go.2gis.com/35oIY,5,1,,,,,,"3,7",4,3,"4,5",14,14
Белоярский,Молодцов А,Белоярский-01 Мира 1,Суши Мастер Россия,Покатова Лариса РД,https://yandex.ru/maps/org/sushi_master/24087642032/,"4,5",151,https://go.2gis.com/YhiAr,"4,6",16,https://maps.app.goo.gl/E7jyz68D6xSEvvdv5,,,,,"3,7",4,3,"4,5",14,14
Березники,Молодцов А,Березники-01 Мира 83,Галерея Суши Россия,Понкратова (Филиппова) Анастасия РД,https://yandex.ru/maps/org/galereya_sushi/237986992283/,"2,6",7,https://go.2gis.com/B8m5G,5,18,,,,,,4,10,8,"4,8",6,5
Березники,Молодцов А,Березники-01 Мира 83,Мир Суши Россия,Понкратова (Филиппова) Анастасия РД,https://yandex.ru/maps/-/CLU5qF0s,,,https://go.2gis.com/1p5dW,"4,8",5,,,,,,4,10,8,"4,8",6,5
Березники,Молодцов А,Березники-01 Мира 83,Суши Мастер Россия,Понкратова (Филиппова) Анастасия РД,https://yandex.ru/maps/org/sushi_master/199021507169/,"4,4",217,https://2gis.ru/berezniki/branches/70000001025156675/firm/70000001036928118?m=56.834806%2C59.407339%2F13,,0,https://maps.app.goo.gl/NWBHQwLaB729RKcWA,,,,,4,10,8,"4,8",6,5
Благовещенск,Чураева К,"Благовещенск-01 ул 50 лет Октября, 24/1",SPOKE Россия,Попова Светлана РД,https://yandex.ru/maps/org/spoke/121449700992/,,,https://2gis.ru/blagoveshensk/search/%D1%81%D0%BF%D0%BE%D0%BA%D0%B5%20%D0%B1%D0%BB%D0%B0%D0%B3%D0%BE%D0%B2%D0%B5%D1%89%D0%B5%D0%B2%D0%B5%D0%BD%D1%81%D0%BA/firm/70000001089889401/127.534465%2C50.263834?m=127.5345%2C50.263853%2F17.66,1,2,,,,,,"3,4",6,5,"3,9",118,111
Благовещенск,Чураева К,"Благовещенск-01 ул 50 лет Октября, 24/1",Галерея Суши Россия,Попова Светлана РД,https://yandex.ru/maps/org/galereya_sushi/180858066726/,4,12,https://go.2gis.com/ZBdPp,"4,1",238,,,,,,"3,4",6,5,"3,9",118,111
Благовещенск,Чураева К,"Благовещенск-01 ул 50 лет Октября, 24/1",Мир Суши Россия,Попова Светлана РД,https://yandex.ru/maps/-/CLU5iIL-,,,https://go.2gis.com/tzDT9,4,111,,,,,,"3,4",6,5,"3,9",118,111
Благовещенск,Чураева К,"Благовещенск-01 ул 50 лет Октября, 24/1",Суши Мастер Россия,Попова Светлана РД,https://yandex.ru/maps/org/sushi_master/80361444077/,"4,3",145,https://go.2gis.com/jYIlG,"3,4",1335,https://maps.app.goo.gl/CCJvYmYyvyDPDQrJ6,,,,,"3,4",6,5,"3,9",118,111
Братск,,Братск-01 Обручева 29,Суши Мастер Россия,,https://yandex.ru/maps/org/sushi_master/133859966361/,4,125,https://go.2gis.com/rUiAl,"4,2",876,https://maps.app.goo.gl/cb9FDNxcTC4Wi3ty8,"3,7",,,,4,243,125,"4,2",979,885
Братск,,Братск-02 ТЦ Русич Вокзальная 2в,Суши Мастер Россия,,https://yandex.ru/maps/org/sushi_master/242247796371/,"4,2",31,https://go.2gis.com/QsWCi,"4,3",384,https://maps.app.goo.gl/bxKa5u2mTTeF92ri8,"3,8",,,,"4,2",73,32,"4,3",408,387
Верхняя Пышма,Чураева К,Верхняя Пышма-01 Успенский 48,Галерея Суши Россия,Понкратова (Филиппова) Анастасия РД,https://yandex.ru/maps/org/galereya_sushi/240832638923/,"4,2",48,https://go.2gis.com/gkWqw,"4,1",32,,,,,,"4,5",713,511,4,522,500
Верхняя Пышма,Чураева К,Верхняя Пышма-01 Успенский 48,Мир Суши Россия,Понкратова (Филиппова) Анастасия РД,https://yandex.ru/maps/-/CLU5JYI4,,,https://go.2gis.com/KjiqX,"4,3",29,,,,,,"4,5",713,511,4,522,500
Верхняя Пышма,Чураева К,Верхняя Пышма-01 Успенский 48,Суши Мастер Россия,Понкратова (Филиппова) Анастасия РД,https://yandex.ru/maps/org/sushi_master/234674062799/,4,510,https://go.2gis.com/AsDrk,4,499,https://maps.app.goo.gl/3rgSVCRimafTe6kN6,,,,,"4,5",713,511,4,522,500
Верхняя Салда,Молодцов А,Верхняя Салда-01 Спортивная 2,Галерея Суши Россия,Понкратова (Филиппова) Анастасия РД,https://yandex.ru/maps/org/galereya_sushi/9309789279/,"3,2",4,https://go.2gis.com/xCckX,5,2,,,,,,"4,6",492,310,"4,3",130,104
Верхняя Салда,Молодцов А,Верхняя Салда-01 Спортивная 2,Мир Суши Россия,Понкратова (Филиппова) Анастасия РД,https://yandex.ru/maps/-/CLU5JPZE,,,https://go.2gis.com/EnAfk,5,8,,,,,,"4,6",492,310,"4,3",130,104
Верхняя Салда,Молодцов А,Верхняя Салда-01 Спортивная 2,Суши Мастер Россия,Понкратова (Филиппова) Анастасия РД,https://yandex.ru/maps/org/sushi_master/67410995689/,"4,6",305,https://go.2gis.com/aGl5q,"4,2",100,https://maps.app.goo.gl/WPgKn77T4nWvWUDeA,,,,,"4,6",492,310,"4,3",130,104
Витязево,,Витязево-01 Овражная 54,Суши Мастер Россия,,https://yandex.ru/maps/org/sushi_master/174480880987/,"4,7",255,https://go.2gis.com/E83fE,"4,9",37,https://maps.app.goo.gl/zuqhbarRm4VGFZPB7,"4,1",,,,"4,1",5,5,5,3,3
Витязево,,Витязево-01 Овражная 54,Мир Суши Россия,,https://yandex.ru/maps/org/mir_sushi/179385327674/,,,https://go.2gis.com/LeemU,5,3,,,,,,"4,1",5,5,5,3,3
Витязево,,Витязево-01 Овражная 54,Галерея Суши Россия,,https://yandex.ru/maps/org/galereya_sushi/103504470676/,,,,,0,,,,,,"4,1",5,5,5,3,3
Воронеж,,Воронеж-03 Владимира Невского 48з/10,Суши Мастер Россия,,https://yandex.ru/maps/org/sushi_master/245620911028/,"4,3",316,https://go.2gis.com/3IpLk,"4,4",177,https://maps.app.goo.gl/Fpw2jLAJUFXp8L659,"4,1",,,,"4,3",465,317,"4,4",184,177
Воронеж,,Воронеж-04 Юлюса Янониса 1,Суши Мастер Россия,,https://yandex.ru/maps/org/sushi_master/231216669571/,"4,4",220,https://go.2gis.com/wYlsq,"4,4",151,https://maps.app.goo.gl/u9w3BsHYdDNFZ3JW9,"4,5",,,,"4,4",311,221,"4,4",158,151
Воронеж,,Воронеж-07 Артамонова 38Д к2,Суши Мастер Россия,,https://yandex.ru/maps/org/sushi_master/175387591247/,"4,7",68,https://go.2gis.com/jAZ2K,"4,7",17,https://maps.app.goo.gl/3CkDfvptz4LWteG5A,3,,,,"4,7",87,68,"4,7",19,17
Воронеж,,"Воронеж, улица Владимира Невского, 48з/10",Галерея Суши Россия,,https://yandex.ru/maps/org/galereya_sushi/138099382928/,,,https://2gis.ru/voronezh/search/%D0%B2%D0%BE%D1%80%D0%BE%D0%BD%D0%B5%D0%B6%20%D0%B3%D0%B0%D0%BB%D0%B5%D1%80%D0%B5%D1%8F%20%D1%81%D1%83%D1%88%D0%B8/firm/70000001105821498/39.173016%2C51.717817/tab/reviews?m=39.199812%2C51.661389%2F10.06,,,,,,,,5,,230,,,
Воскресенск,,"Воскресенск ул. Железнодорожная, 18б",Суши Мастер Россия,,https://yandex.ru/maps/org/sushi_master/104233828423/,4,9,https://go.2gis.com/ScosZ,"4,6",9,https://maps.app.goo.gl/AKxzoyCpbx8RkH2MA,5,,,,"4,1",13,10,"4,8",9,9
Геленджик,,Геленджик-01 Леселидзе 11,Суши Мастер Россия,,https://yandex.ru/maps/org/sushi_master/197280220045/,"4,6",502,https://go.2gis.com/vYAgd,"4,3",206,https://maps.app.goo.gl/8rbr16JEWydCnhfR7,"3,7",,,,"4,6",622,505,"4,2",226,208
Геленджик,,Геленджик-01 Леселидзе 11,Мир Суши Россия,,https://yandex.ru/maps/org/mir_sushi/222742949377/,,,https://go.2gis.com/w9bHo,"3,8",13,,,,,,"4,6",622,505,"4,2",226,208
Геленджик,,Геленджик-01 Леселидзе 11,Галерея Суши Россия,,https://yandex.ru/maps/org/galereya_sushi/132007101194/,,,,,0,,,,,,"4,6",622,505,"4,2",226,208
Губкинский,Юнусов В,Губкинский-01 мкр 12 39,Галерея Суши Россия,Покатова Лариса РД,https://yandex.ru/maps/org/galereya_sushi/40659756860/,"4,3",5,https://go.2gis.com/Xqyqs,"4,9",30,,,,,,"4,3",289,180,"4,4",105,95
Губкинский,Юнусов В,Губкинский-01 мкр 12 39,Мир Суши Россия,Покатова Лариса РД,https://yandex.ru/maps/-/CLU5NNom,,,,,0,https://maps.app.goo.gl/bm4zdoGYfdJ9bBCfA,,,,,"4,3",289,180,"4,4",105,95
Губкинский,Юнусов В,Губкинский-01 мкр 12 39,Суши Мастер Россия,Покатова Лариса РД,https://yandex.ru/maps/org/sushi_master/17369842518/,"4,3",180,https://go.2gis.com/Jevt4,"4,4",93,https://maps.app.goo.gl/YXnhzHo2Np2X2vhWA,,,,,"4,3",289,180,"4,4",105,95
Долгопрудный,,Долгопрудный ,Суши Мастер Россия,,https://yandex.ru/maps/org/sushi_master/98017841393/,"4,7",51,https://go.2gis.com/eDHwT,"3,5",6,https://maps.app.goo.gl/8MxddSwccD55btJ27,,,,,"4,7",61,53,"3,5",7,6
Долгопрудный,,Долгопрудный,Галерея Суши Россия,,https://yandex.ru/maps/org/galereya_sushi/21277365161/,,,,,0,,,,,,"4,7",61,53,"3,5",7,6
Дубна,,Дубна Тверская 45А,Суши Мастер Россия,,https://yandex.ru/maps/org/sushi_master/118040429041/,"4,2",37,https://2gis.ru/dubna/search/%D0%B4%D1%83%D0%B1%D0%BD%D0%B0%20%D1%81%D1%83%D1%88%D0%B8%20%D0%BC%D0%B0%D1%81%D1%82%D0%B5%D1%80/firm/70000001109880406/37.123339%2C56.75766?m=37.123386%2C56.757648%2F17.21,"4,5",41,https://maps.app.goo.gl/GEUxgLc7X7wVwUnS7,"1,5",,,,"4,2",42,38,"3,3",13,13
Дубна,,Дубна Тверская 45А,Мир Суши Россия,,https://yandex.ru/maps/org/mir_sushi/235258584619/,,,https://go.2gis.com/Uc68J,,,,,,,,"4,2",42,38,,,
Егорьевск,,"Егорьевск, Касимовское шоссе, 9",Суши Мастер Россия,,https://yandex.ru/maps/org/sushi_master/130917720202/,"4,8",45,https://go.2gis.com/ICcoQ,5,82,https://maps.app.goo.gl/8QeocozbeHLzKgnq8,1,,,,"4,7",50,47,5,87,87
Екатеринбург,Чураева К,Екатеринбург-09 Крауля 69,SPOKE Россия,Понкратова (Филиппова) Анастасия РД,https://yandex.ru/maps/org/spoke/156905691050/,,,https://go.2gis.com/0nunY,5,9,,,,,,1,,141,5,9,9
Екатеринбург,Чураева К,Екатеринбург-09 Крауля 69,Галерея Суши Россия,Понкратова (Филиппова) Анастасия РД,https://yandex.by/maps/-/CPe4YQjg,"4,4",237,https://go.2gis.com/qwYkh,"4,1",149,,,,,,1,,141,5,9,9
Екатеринбург,Чураева К,Екатеринбург-09 Крауля 69,Мир Суши Россия,Понкратова (Филиппова) Анастасия РД,https://yandex.ru/maps/-/CLU5R6L4,,,https://go.2gis.com/oufDD,"4,2",41,,,,,,1,,141,5,9,9
Екатеринбург,Чураева К,Екатеринбург-09 Крауля 69,Суши Мастер Россия,Понкратова (Филиппова) Анастасия РД,https://yandex.ru/maps/org/sushi_master/207672617734/,"4,4",235,https://go.2gis.com/yvH0d,4,1162,https://maps.app.goo.gl/1QcZMYDbkzg3kQZH7,,,,,1,,141,5,9,9
Екатеринбург,Чураева К,Екатеринбург-10 Восточная 98,SPOKE Россия,Понкратова (Филиппова) Анастасия РД,https://yandex.ru/maps/org/spoke/213627213811/?ll=60.635384%2C56.830950&z=16,,,https://go.2gis.com/ziUBo,"3,4",10,,,,,,"3,9",86,65,"4,6",73,72
Екатеринбург,Чураева К,Екатеринбург-10 Восточная 98,Галерея Суши Россия,Понкратова (Филиппова) Анастасия РД,https://yandex.ru/maps/org/galereya_sushi/117356728164/,"3,9",63,https://go.2gis.com/lzm3i,"4,5",63,,,,,,"3,9",86,65,"4,6",73,72
Екатеринбург,Чураева К,Екатеринбург-10 Восточная 98,Мир Суши Россия,Понкратова (Филиппова) Анастасия РД,https://yandex.ru/maps/-/CLU5V4iG,,,https://go.2gis.com/ptMpR,"4,6",73,,,,,,"3,9",86,65,"4,6",73,72
Екатеринбург,Чураева К,Екатеринбург-10 Восточная 98,Суши Мастер Россия,Понкратова (Филиппова) Анастасия РД,https://yandex.ru/maps/org/sushi_master/168123075758/,"4,2",969,https://go.2gis.com/0MTiU,4,1162,https://maps.app.goo.gl/dgKDG9zH98gXZ5ScA,,,,,"3,9",86,65,"4,6",73,72
Екатеринбург,Чураева К,Екатеринбург-11 Челюскинцев 19,Галерея Суши Россия,Понкратова (Филиппова) Анастасия РД,https://yandex.ru/maps/org/galereya_sushi/183558900242/,"3,8",65,https://go.2gis.com/9jZVi,"4,7",265,,,,,,"4,6",359,257,"4,2",566,526
Екатеринбург,Чураева К,Екатеринбург-11 Челюскинцев 19,Мир Суши Россия,Понкратова (Филиппова) Анастасия РД,https://yandex.ru/maps/-/CLUBVF--,,,https://go.2gis.com/PaJCU,4,33,,,,,,"4,6",359,257,"4,2",566,526
Екатеринбург,Чураева К,Екатеринбург-11 Челюскинцев 19,Суши Мастер Россия,Понкратова (Филиппова) Анастасия РД,https://yandex.ru/maps/org/sushi_master/122445688138/,"4,6",253,https://go.2gis.com/asew0,4,1162,https://maps.app.goo.gl/wMe4GtH8irFqgCWP8,,,,,"4,6",359,257,"4,2",566,526
Екатеринбург,Чураева К,Екатеринбург-13 Титова 12,SPOKE Россия,Понкратова (Филиппова) Анастасия РД,https://yandex.ru/maps/org/spoke/195869926918/,,,https://go.2gis.com/ZwFFs,5,8,,,,,,"4,2",10,10,"4,4",38,36
Екатеринбург,Чураева К,Екатеринбург-13 Титова 12,Галерея Суши Россия,Понкратова (Филиппова) Анастасия РД,https://yandex.ru/maps/org/galereya_sushi/156273600086/,"3,9",18,https://go.2gis.com/JIT0L,"4,6",69,,,,,,"4,2",10,10,"4,4",38,36
Екатеринбург,Чураева К,Екатеринбург-13 Титова 12,Мир Суши Россия,Понкратова (Филиппова) Анастасия РД,https://yandex.ru/maps/-/CLUBZZ4Y,,,https://go.2gis.com/mYUZD,"4,3",28,,,,,,"4,2",10,10,"4,4",38,36
Екатеринбург,Чураева К,Екатеринбург-13 Титова 12,Суши Мастер Россия,Понкратова (Филиппова) Анастасия РД,https://yandex.ru/maps/org/sushi_master/218701755881/,"4,4",353,https://go.2gis.com/UzQ60,"4,1",549,https://maps.app.goo.gl/BRwcbqnKZJDp4cpm7,,,,,"4,2",10,10,"4,4",38,36
Екатеринбург,Чураева К,Екатеринбург-16 Вильгельма де Геннина 37,SPOKE Россия,Понкратова (Филиппова) Анастасия РД,https://yandex.ru/profile/144537103760,,,https://go.2gis.com/RuWrb,5,1,,,,,,3,29,20,"3,9",38,34
Екатеринбург,Чураева К,Екатеринбург-16 Вильгельма де Геннина 37,Галерея Суши Россия,Понкратова (Филиппова) Анастасия РД,https://yandex.ru/maps/org/galereya_sushi/245468331709/,"4,2",23,https://go.2gis.com/6Gxxl,"3,9",128,,,,,,3,29,20,"3,9",38,34
Екатеринбург,Чураева К,Екатеринбург-16 Вильгельма де Геннина 37,Мир Суши Россия,Понкратова (Филиппова) Анастасия РД,https://yandex.ru/maps/-/CLUB6Z1k,,,https://go.2gis.com/Rx2AI,"3,9",34,,,,,,3,29,20,"3,9",38,34
